# Step_Size Forward_Error Central_Error
0.1 0.0699719 0.00998744
0.0952381 0.0661881 0.00905922
0.0907029 0.0626263 0.00821725
0.0863838 0.0592722 0.0074535
0.0822702 0.0561124 0.00676072
0.0783526 0.0531343 0.00613231
0.0746215 0.0503264 0.0055623
0.0710681 0.0476781 0.00504527
0.0676839 0.0451792 0.00457628
0.0644609 0.0428205 0.00415089
0.0613913 0.0405935 0.00376503
0.0584679 0.0384899 0.00341503
0.0556837 0.0365023 0.00309757
0.0530321 0.0346238 0.00280962
0.0505068 0.0328477 0.00254843
0.0481017 0.0311681 0.00231152
0.0458112 0.0295791 0.00209663
0.0436297 0.0280756 0.00190172
0.0415521 0.0266525 0.00172493
0.0395734 0.0253051 0.00156457
0.0376889 0.0240292 0.00141912
0.0358942 0.0228207 0.00128719
0.034185 0.0216756 0.00116752
0.0325571 0.0205905 0.00105898
0.0310068 0.019562 0.000960528
0.0295303 0.018587 0.00087123
0.0281241 0.0176624 0.000790234
0.0267848 0.0167855 0.000716767
0.0255094 0.0159537 0.00065013
0.0242946 0.0151645 0.000589689
0.0231377 0.0144157 0.000534866
0.0220359 0.0137049 0.00048514
0.0209866 0.0130303 0.000440037
0.0199873 0.0123899 0.000399127
0.0190355 0.0117818 0.00036202
0.018129 0.0112043 0.000328364
0.0172657 0.0106559 0.000297836
0.0164436 0.010135 0.000270146
0.0156605 0.00964012 0.000245031
0.0149148 0.00916996 0.00022225
0.0142046 0.00872322 0.000201588
0.0135282 0.00829869 0.000182846
0.012884 0.00789522 0.000165847
0.0122704 0.00751174 0.000150428
0.0116861 0.00714721 0.000136443
0.0111297 0.00680068 0.000123758
0.0105997 0.00647123 0.000112252
0.0100949 0.00615799 0.000101816
0.00961421 0.00586013 9.23499e-05
0.00915639 0.00557689 8.37641e-05
0.00872037 0.00530753 7.59766e-05
0.00830512 0.00505134 6.8913e-05
0.00790964 0.00480768 6.25061e-05
0.00753299 0.00457591 5.66949e-05
0.00717427 0.00435543 5.1424e-05
0.00683264 0.0041457 4.66431e-05
0.00650728 0.00394617 4.23066e-05
0.00619741 0.00375634 3.83734e-05
0.00590229 0.00357573 3.48058e-05
0.00562123 0.00340387 3.15699e-05
0.00535355 0.00324035 2.86348e-05
0.00509862 0.00308475 2.59726e-05
0.00485583 0.00293668 2.35579e-05
0.0046246 0.00279577 2.13677e-05
0.00440438 0.00266167 1.93812e-05
0.00419465 0.00253405 1.75793e-05
0.0039949 0.00241258 1.59449e-05
0.00380467 0.00229697 1.44625e-05
0.00362349 0.00218694 1.31179e-05
0.00345095 0.0020822 1.18984e-05
0.00328662 0.00198251 1.07922e-05
0.00313011 0.00188761 9.78881e-06
0.00298106 0.00179728 8.87874e-06
0.0028391 0.0017113 8.05328e-06
0.00270391 0.00162944 7.30456e-06
0.00257515 0.00155152 6.62546e-06
0.00245252 0.00147734 6.00948e-06
0.00233574 0.00140671 5.45078e-06
0.00222451 0.00133948 4.94402e-06
0.00211858 0.00127547 4.48437e-06
0.0020177 0.00121453 4.06746e-06
0.00192162 0.00115651 3.6893e-06
0.00183011 0.00110127 3.34631e-06
0.00174296 0.00104868 3.0352e-06
0.00165996 0.000998604 2.75301e-06
0.00158092 0.000950927 2.49706e-06
0.00150564 0.000905531 2.26491e-06
0.00143394 0.000862308 2.05434e-06
0.00136566 0.000821153 1.86335e-06
0.00130063 0.000781966 1.69011e-06
0.00123869 0.000744653 1.53298e-06
0.00117971 0.000709123 1.39046e-06
0.00112353 0.000675293 1.26119e-06
0.00107003 0.000643079 1.14393e-06
0.00101907 0.000612404 1.03758e-06
0.000970547 0.000583195 9.41118e-07
0.000924331 0.000555381 8.53621e-07
0.000880315 0.000528896 7.7426e-07
0.000838395 0.000503675 7.02276e-07
0.000798471 0.000479659 6.36985e-07
0.000760449 0.000456789 5.77765e-07
0.000724237 0.000435011 5.24049e-07
0.00068975 0.000414272 4.75328e-07
0.000656904 0.000394523 4.31137e-07
0.000625623 0.000375717 3.91054e-07
0.000595832 0.000357808 3.54697e-07
0.000567459 0.000340753 3.21721e-07
0.000540437 0.000324512 2.9181e-07
0.000514702 0.000309046 2.64681e-07
0.000490192 0.000294318 2.40073e-07
0.00046685 0.000280292 2.17753e-07
0.000444619 0.000266935 1.97509e-07
0.000423446 0.000254214 1.79146e-07
0.000403282 0.000242101 1.62491e-07
0.000384078 0.000230565 1.47384e-07
0.000365789 0.000219579 1.33682e-07
0.00034837 0.000209117 1.21253e-07
0.000331781 0.000199153 1.0998e-07
0.000315982 0.000189665 9.97553e-08
0.000300935 0.000180629 9.0481e-08
0.000286605 0.000172023 8.2069e-08
0.000272957 0.000163828 7.4439e-08
0.000259959 0.000156023 6.75183e-08
0.00024758 0.00014859 6.12411e-08
0.000235791 0.000141512 5.55475e-08
0.000224563 0.000134771 5.03832e-08
0.000213869 0.000128351 4.56991e-08
0.000203685 0.000122237 4.14504e-08
0.000193986 0.000116414 3.75967e-08
0.000184748 0.000110869 3.41013e-08
0.000175951 0.000105588 3.09309e-08
0.000167572 0.000100558 2.80553e-08
0.000159593 9.57687e-05 2.5447e-08
0.000151993 9.12071e-05 2.30811e-08
0.000144755 8.68629e-05 2.09353e-08
0.000137862 8.27256e-05 1.89889e-08
0.000131297 7.87854e-05 1.72235e-08
0.000125045 7.5033e-05 1.56222e-08
0.00011909 7.14593e-05 1.41698e-08
0.000113419 6.80558e-05 1.28524e-08
0.000108018 6.48145e-05 1.16575e-08
0.000102875 6.17275e-05 1.05737e-08
9.7976e-05 5.87876e-05 9.5907e-09
9.33104e-05 5.59878e-05 8.69904e-09
8.88671e-05 5.33213e-05 7.89028e-09
8.46353e-05 5.07818e-05 7.1567e-09
8.06051e-05 4.83633e-05 6.49138e-09
7.67667e-05 4.606e-05 5.88785e-09
7.31112e-05 4.38664e-05 5.34045e-09
6.96297e-05 4.17773e-05 4.84393e-09
6.6314e-05 3.97877e-05 4.39359e-09
6.31562e-05 3.78928e-05 3.98511e-09
6.01487e-05 3.60882e-05 3.61461e-09
5.72845e-05 3.43696e-05 3.2786e-09
5.45567e-05 3.27328e-05 2.97375e-09
5.19587e-05 3.1174e-05 2.69728e-09
4.94845e-05 2.96894e-05 2.44654e-09
4.71281e-05 2.82755e-05 2.21907e-09
4.48839e-05 2.69289e-05 2.01276e-09
4.27466e-05 2.56465e-05 1.82563e-09
4.0711e-05 2.44252e-05 1.65591e-09
3.87724e-05 2.3262e-05 1.50194e-09
3.69261e-05 2.21542e-05 1.36234e-09
3.51677e-05 2.10992e-05 1.23569e-09
3.34931e-05 2.00944e-05 1.12075e-09
3.18982e-05 1.91375e-05 1.0166e-09
3.03792e-05 1.82261e-05 9.22081e-10
2.89326e-05 1.73582e-05 8.36394e-10
2.75548e-05 1.65315e-05 7.58561e-10
2.62427e-05 1.57443e-05 6.88092e-10
2.4993e-05 1.49945e-05 6.24094e-10
2.38029e-05 1.42805e-05 5.66062e-10
2.26694e-05 1.36004e-05 5.13445e-10
2.15899e-05 1.29528e-05 4.65752e-10
2.05618e-05 1.23359e-05 4.22442e-10
1.95827e-05 1.17485e-05 3.83174e-10
1.86502e-05 1.1189e-05 3.47603e-10
1.77621e-05 1.06562e-05 3.15127e-10
1.69163e-05 1.01488e-05 2.85879e-10
1.61107e-05 9.66547e-06 2.59227e-10
1.53436e-05 9.20519e-06 2.35103e-10
1.46129e-05 8.76684e-06 2.13373e-10
1.39171e-05 8.34936e-06 1.93379e-10
1.32543e-05 7.95176e-06 1.75604e-10
