N,Gauss,Thomas,LU,Eigen
10,4.569e-06,1.202e-06,1.0559e-05,1.1411e-05
20,1.6732e-05,1.553e-06,1.572e-05,2.2021e-05
30,3.3593e-05,1.784e-06,2.5217e-05,5.7208e-05
40,5.5184e-05,2.225e-06,7.3609e-05,0.000106902
50,0.000103425,2.645e-06,5.2559e-05,0.000200238
60,0.000173357,3.076e-06,5.2499e-05,0.0002917
70,0.000262214,3.577e-06,7.0614e-05,0.000463825
80,0.000378875,3.978e-06,8.5e-05,0.000635589
90,0.000533276,4.439e-06,8.1744e-05,0.000867607
100,0.000698969,5.01e-06,0.000111841,0.00112954
110,0.000914406,5.31e-06,0.000158339,0.00147131
120,0.00124172,6.613e-06,0.000200268,0.00195142
130,0.00145899,7.444e-06,0.000288394,0.00158139
140,0.000745427,2.775e-06,0.000124575,0.00108357
150,0.000796323,3.105e-06,0.000140505,0.00130478
160,0.00101239,5.189e-06,0.000299886,0.00200053
170,0.00120314,5.46e-06,0.000275059,0.00185811
180,0.00139845,3.777e-06,0.000273987,0.00214852
190,0.00161818,4.188e-06,0.00029679,0.00250649
200,0.00189756,4.498e-06,0.000342106,0.00290508
210,0.00215957,4.428e-06,0.000368395,0.00334891
220,0.00245744,4.158e-06,0.000407078,0.0037938
230,0.00279151,4.528e-06,0.00044511,0.00430396
240,0.00315151,4.518e-06,0.00048766,0.00485001
250,0.00353009,4.718e-06,0.000549618,0.00624827
260,0.00414971,9.528e-06,0.000713416,0.00604163
270,0.00429983,5.29e-06,0.00060927,0.00659765
280,0.00476527,5.43e-06,0.000645589,0.00718581
290,0.00520403,8.786e-06,0.000727112,0.00803275
300,0.00578414,6.492e-06,0.000778529,0.00881637
