d	Punkt startowy	Jacobi zbieżność	Jacobi błąd	Gauss-Seidel zbieżność	Gauss-Seidel błąd
0.5	-1	Tak	0	Tak	0
0.5	0	Tak	0	Tak	0
0.5	10	Tak	0	Tak	0
0.5	100	Tak	0	Tak	0
1.201	-1	Tak	4.99573e-07	Tak	6.82956e-07
1.201	0	Tak	4.9945e-07	Tak	6.79915e-07
1.201	10	Tak	4.99584e-07	Tak	6.49501e-07
1.201	100	Tak	4.9964e-07	Tak	7.44474e-07
1.5	-1	Tak	3.72182e-07	Tak	3.6464e-07
1.5	0	Tak	3.66512e-07	Tak	3.6223e-07
1.5	10	Tak	3.87853e-07	Tak	3.38125e-07
1.5	100	Tak	4.09053e-07	Tak	3.39822e-07
3	-1	Tak	1.97896e-07	Tak	1.32573e-07
3	0	Tak	1.93548e-07	Tak	1.29827e-07
3	10	Tak	1.50068e-07	Tak	1.02501e-07
3	100	Tak	1.68414e-07	Tak	5.26597e-08
5	-1	Tak	6.57393e-08	Tak	6.11239e-08
5	0	Tak	6.36513e-08	Tak	5.92687e-08
5	10	Tak	1.78985e-07	Tak	4.07727e-08
5	100	Tak	4.92253e-08	Tak	2.19126e-08
