# Iteration Jacobi Gauss-Seidel
0 1.8140381373e+00 1.4298853642e+00
1 1.6803956106e+00 8.2599884956e-01
2 1.5779573623e+00 3.4350905142e-01
3 1.4765911757e+00 -1.8361325975e-01
4 1.3767045084e+00 -6.1423943124e-01
5 1.2775748957e+00 -1.0996181192e+00
6 1.1786776942e+00 -1.5349268160e+00
7 1.0803615746e+00 -2.0022055315e+00
8 9.8198474452e-01 -2.4392905167e+00
9 8.8377274837e-01 -2.8968166988e+00
10 7.8557184371e-01 -3.3348294486e+00
11 6.8756054390e-01 -3.7863702964e+00
12 5.8938978842e-01 -4.2249732006e+00
13 4.9155923395e-01 -4.6725083450e+00
14 3.9355983395e-01 -5.1115349164e+00
15 2.9566926592e-01 -5.5562195304e+00
16 1.9787718251e-01 -5.9955731740e+00
17 9.9965904697e-02 -6.4381351485e+00
18 2.1980325045e-03 NaN
19 -9.5517288934e-02 NaN
20 -1.9331984600e-01 NaN
21 -2.9106948778e-01 NaN
22 -3.8869809151e-01 NaN
23 -4.8639264584e-01 NaN
24 -5.8415034983e-01 NaN
25 -6.8173203046e-01 NaN
26 -7.7932713257e-01 NaN
27 -8.7697157635e-01 NaN
28 -9.7466334233e-01 NaN
29 -1.0721778434e+00 NaN
30 -1.1697237416e+00 NaN
31 -1.2673076563e+00 NaN
32 -1.3649281615e+00 NaN
33 -1.4624442429e+00 NaN
34 -1.5599361022e+00 NaN
35 -1.6574580074e+00 NaN
36 -1.7550089412e+00 NaN
37 -1.8525716296e+00 NaN
38 -1.9500098761e+00 NaN
39 -2.0474723755e+00 NaN
40 -2.1449583946e+00 NaN
41 -2.2424671790e+00 NaN
42 -2.3399835588e+00 NaN
43 -2.4373909828e+00 NaN
44 -2.5348177934e+00 NaN
45 -2.6322634408e+00 NaN
46 -2.7297273641e+00 NaN
47 -2.8272089958e+00 NaN
48 -2.9246187066e+00 NaN
49 -3.0220079619e+00 NaN
50 -3.1194126049e+00 NaN
51 -3.2168322147e+00 NaN
52 -3.3142663667e+00 NaN
53 -3.4117146336e+00 NaN
54 -3.5090762426e+00 NaN
55 -3.6064412084e+00 NaN
56 -3.7038186385e+00 NaN
57 -3.8012082112e+00 NaN
58 -3.8986096027e+00 NaN
59 -3.9960224895e+00 NaN
60 -4.0933790972e+00 NaN
61 -4.1907171825e+00 NaN
62 -4.2880655491e+00 NaN
63 -4.3854239486e+00 NaN
64 -4.4827921333e+00 NaN
65 -4.5801698529e+00 NaN
66 -4.6775525790e+00 NaN
67 -4.7748631938e+00 NaN
68 -4.8721824250e+00 NaN
69 -4.9695100779e+00 NaN
70 -5.0668459612e+00 NaN
71 -5.1641898804e+00 NaN
72 -5.2615416437e+00 NaN
73 -5.3589010602e+00 NaN
74 -5.4561954782e+00 NaN
75 -5.5534936345e+00 NaN
76 -5.6507988212e+00 NaN
77 -5.7481108503e+00 NaN
78 -5.8454296130e+00 NaN
79 -5.9427549095e+00 NaN
80 -6.0400866580e+00 NaN
81 -6.1373977058e+00 NaN
82 -6.2346740391e+00 NaN
83 -6.3319563869e+00 NaN
84 -6.4292444679e+00 NaN
