# Iteration Jacobi Gauss-Seidel
0 1.2831749886e+00 9.1637140517e-01
1 8.7845642723e-01 1.3830726152e-01
2 4.7480894226e-01 -6.5416844821e-01
3 7.3279965816e-02 -1.4326110639e+00
4 -3.2701299219e-01 -2.2145107298e+00
5 -7.2686858826e-01 -2.9933075388e+00
6 -1.1266729164e+00 -3.7724399553e+00
7 -1.5261031385e+00 -4.5511246951e+00
8 -1.9254505833e+00 -5.3296567746e+00
9 -2.3247485569e+00 -6.1080860635e+00
10 -2.7239298786e+00 -6.8866335261e+00
11 -3.1230111006e+00 NaN
12 -3.5221806519e+00 NaN
13 -3.9210680015e+00 NaN
14 -4.3201237210e+00 NaN
15 -4.7190209260e+00 NaN
16 -5.1178622975e+00 NaN
17 -5.5168221778e+00 NaN
18 -5.9156054654e+00 NaN
19 -6.3143651139e+00 NaN
20 -6.7132115256e+00 NaN
